dtp_id,vehicle_no,role,gender,experience,violation,violations_count,health,brand,vehicle_year,vehicle_category
31,1,Водитель,Женский,1.0,Превышение установленной скорости движения,1,Ранен,RENAULT,2013,"D-класс (средний) до 4,6 м"
31,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,RENAULT,2013,"D-класс (средний) до 4,6 м"
133,1,Водитель,Женский,11.0,Нет нарушений,0,Ранен,LEXUS,2012,"D-класс (средний) до 4,6 м"
133,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,INFINITI,2014,"D-класс (средний) до 4,6 м"
133,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,INFINITI,2014,"D-класс (средний) до 4,6 м"
133,2,Пассажир,Женский,,Нет нарушений,0,Ранен,INFINITI,2014,"D-класс (средний) до 4,6 м"
133,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,INFINITI,2014,"D-класс (средний) до 4,6 м"
133,2,Пассажир,Женский,,Нет нарушений,0,Ранен,INFINITI,2014,"D-класс (средний) до 4,6 м"
133,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,INFINITI,2014,"D-класс (средний) до 4,6 м"
133,2,Водитель,Женский,7.0,Нарушение правил обгона,1,Ранен,INFINITI,2014,"D-класс (средний) до 4,6 м"
177,1,Водитель,Мужской,7.0,Выезд на полосу встречного движения,1,Погиб,ВАЗ,1999,"В-класс (малый) до 3,9 м"
177,2,Водитель,Мужской,31.0,Нет нарушений,0,Не пострадал,КАМАЗ,2013,Седельные тягачи
179,1,Пассажир,Мужской,,Нет нарушений,0,Погиб,MITSUBISHI,2008,"С-класс (малый средний, компактный) до 4,3 м"
179,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,MITSUBISHI,2008,"С-класс (малый средний, компактный) до 4,3 м"
179,1,Пассажир,Женский,,Нет нарушений,0,Ранен,MITSUBISHI,2008,"С-класс (малый средний, компактный) до 4,3 м"
179,1,Пассажир,Женский,,Нет нарушений,0,Ранен,MITSUBISHI,2008,"С-класс (малый средний, компактный) до 4,3 м"
179,1,Водитель,Мужской,16.0,Выезд на полосу встречного движения,1,Погиб,MITSUBISHI,2008,"С-класс (малый средний, компактный) до 4,3 м"
179,2,Водитель,Мужской,9.0,Нет нарушений,0,Ранен,KIA,2013,"С-класс (малый средний, компактный) до 4,3 м"
205,1,Пассажир,Мужской,,Нет нарушений,0,Не пострадал,AUDI,1996,"В-класс (малый) до 3,9 м"
205,1,Пассажир,Мужской,,Нет нарушений,0,Не пострадал,AUDI,1996,"В-класс (малый) до 3,9 м"
205,1,Пассажир,Мужской,,Нет нарушений,0,Не пострадал,AUDI,1996,"В-класс (малый) до 3,9 м"
205,1,Пассажир,Женский,,Нет нарушений,0,Не пострадал,AUDI,1996,"В-класс (малый) до 3,9 м"
205,1,Пассажир,Мужской,,Нет нарушений,0,Не пострадал,AUDI,1996,"В-класс (малый) до 3,9 м"
205,1,Водитель,Мужской,24.0,Превышение установленной скорости движения,1,Не пострадал,AUDI,1996,"В-класс (малый) до 3,9 м"
205,,Пешеход,Женский,,Нет нарушений,0,Погиб,,,
275,1,Водитель,Мужской,96.0,Несоответствие скорости конкретным условиям движения,1,Ранен,AUDI,1989,"В-класс (малый) до 3,9 м"
275,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,AUDI,1989,"В-класс (малый) до 3,9 м"
414,1,Велосипедист,Мужской,,"Управление велосипедом, не оснащённым светоотражающими элементами",1,Погиб,,,Велосипеды
414,2,Водитель,Мужской,2.0,Нет нарушений,0,Не пострадал,TOYOTA,2010,"В-класс (малый) до 3,9 м"
419,1,Пассажир,Женский,,Нет нарушений,0,Ранен,HYUNDAI,2013,"С-класс (малый средний, компактный) до 4,3 м"
419,1,Пассажир,Женский,,Нет нарушений,0,Ранен,HYUNDAI,2013,"С-класс (малый средний, компактный) до 4,3 м"
419,1,Пассажир,Женский,,Нет нарушений,0,Ранен,HYUNDAI,2013,"С-класс (малый средний, компактный) до 4,3 м"
