id,datetime,district,category,severity,light,weather,road_defect,road_defects,participants_count,vehicles_count,dead_count,injured_count,lat,lon
31,2015-01-01 01:10:00,Выгоничский район,Наезд на препятствие,Легкий,"В темное время суток, освещение отсутствует",Пасмурно,,0,2,1,0,2,53.054167,33.0775
133,2015-01-01 05:37:00,Брянская область,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,8,2,0,8,53.2797,34.3525
177,2015-01-01 07:10:00,Севский район,Столкновение,С погибшими,Сумерки,Пасмурно,,0,2,2,1,0,34.470556,52.105556
179,2015-01-01 07:15:00,Навлинский район,Столкновение,С погибшими,Светлое время суток,Пасмурно,,0,6,2,2,4,52.531111,34.531111
205,2015-01-01 09:15:00,Дубровский район,Наезд на пешехода,С погибшими,Светлое время суток,Пасмурно,,0,7,1,1,0,53.6806,33.5042
275,2015-01-01 14:55:00,Новозыбковский район,Наезд на препятствие,Тяжёлый,Светлое время суток,Пасмурно,Низкие сцепные качества покрытия,1,2,1,0,2,52.586944,31.9325
414,2015-01-01 20:20:00,Брянский район,Наезд на велосипедиста,С погибшими,"В темное время суток, освещение включено",Пасмурно,,0,2,2,1,0,53.192778,34.231667
419,2015-01-01 20:30:00,Навлинский район,Опрокидывание,Тяжёлый,"В темное время суток, освещение отсутствует",Пасмурно,,0,4,1,0,3,52.748056,34.531111
968,2015-01-02 23:50:00,Брянская область,Наезд на пешехода,С погибшими,"В темное время суток, освещение включено",Пасмурно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,3,2,1,0,53.323056,34.281667
988,2015-01-03 00:50:00,Брянская область,Наезд на пешехода,Легкий,"В темное время суток, освещение включено",Дождь,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,2,1,0,1,53.264444,34.322222
1126,2015-01-03 12:00:00,Клинцовский район,Наезд на препятствие,Тяжёлый,Светлое время суток,Пасмурно,,0,2,1,0,1,52.785556,32.205278
1245,2015-01-03 17:02:00,Брянский район,Столкновение,Тяжёлый,"В темное время суток, освещение отсутствует",Пасмурно,,0,2,2,0,1,53.283889,33.941667
1287,2015-01-03 18:10:00,Комаричский район,Опрокидывание,Тяжёлый,"В темное время суток, освещение отсутствует",Пасмурно,,0,1,1,0,1,52.3425,34.768889
1319,2015-01-03 19:30:00,Брянская область,Наезд на пешехода,Легкий,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,53.256944,34.323889
1402,2015-01-04 00:10:00,Брянская область,Наезд на препятствие,Легкий,"В темное время суток, освещение включено",Пасмурно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,1,1,0,1,53.2975,34.372778
1521,2015-01-04 11:30:00,Жуковский район,Съезд с дороги,Легкий,Светлое время суток,Пасмурно,,0,2,1,0,1,53.454444,33.644167
1528,2015-01-04 12:00:00,Клинцовский район,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,52.200278,32.2375
1569,2015-01-04 14:01:00,Погарский район,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,6,3,0,4,55.579444,33.169167
1579,2015-01-04 14:40:00,Дятьковский район,Наезд на препятствие,Тяжёлый,Светлое время суток,Снегопад,Низкие сцепные качества покрытия,1,1,1,0,1,53.605,34.341667
1694,2015-01-04 18:30:00,Погарский район,Столкновение,Легкий,"В темное время суток, освещение включено",Пасмурно,,0,2,2,0,1,52.536667,33.269167
1702,2015-01-04 18:45:00,Дятьковский район,Наезд на препятствие,Легкий,"В темное время суток, освещение отсутствует",Снегопад,Недостатки зимнего содержания,1,2,1,0,1,53.626389,34.265833
1845,2015-01-05 08:40:00,Брянский район,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,2,2,0,1,53.363056,34.296944
1851,2015-01-05 09:20:00,Почепский район,Опрокидывание,Тяжёлый,Светлое время суток,Пасмурно,,0,2,1,0,1,52.935,33.610556
