dtp_id,vehicle_no,role,gender,experience,violation,violations_count,health,brand,vehicle_year,vehicle_category
1090113,1,Водитель,Мужской,21.0,Нет нарушений,0,Погиб,KIA,2015,"D-класс (средний) до 4,6 м"
1090113,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,KIA,2015,"D-класс (средний) до 4,6 м"
1090113,2,Водитель,Мужской,3.0,Неправильный выбор дистанции,1,Не пострадал,KIA,2019,"D-класс (средний) до 4,6 м"
1090143,2,Водитель,Мужской,40.0,Нет нарушений,0,Не пострадал,Прочие марки ТС,2007,Тракторы
1090143,3,Пассажир,Мужской,,Нет нарушений,0,Ранен,ВАЗ,2013,"В-класс (малый) до 3,9 м"
1090143,3,Водитель,Мужской,14.0,Неправильный выбор дистанции,1,Не пострадал,ВАЗ,2013,"В-класс (малый) до 3,9 м"
1090189,1,Водитель,Мужской,15.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,RENAULT,2004,"В-класс (малый) до 3,9 м"
1090189,1,Пассажир,Женский,,Нет нарушений,0,Ранен,RENAULT,2004,"В-класс (малый) до 3,9 м"
1090214,1,Водитель,Мужской,6.0,Нет нарушений,0,Не пострадал,RENAULT,2011,"В-класс (малый) до 3,9 м"
1090214,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,HYUNDAI,2020,"В-класс (малый) до 3,9 м"
1090214,2,Пассажир,Женский,,Нет нарушений,0,Ранен,HYUNDAI,2020,"В-класс (малый) до 3,9 м"
1090214,2,Водитель,Мужской,0.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,HYUNDAI,2020,"В-класс (малый) до 3,9 м"
1090214,2,Пассажир,Женский,,Нет нарушений,0,Ранен,HYUNDAI,2020,"В-класс (малый) до 3,9 м"
1090228,1,Водитель,Мужской,16.0,Выезд на полосу встречного движения,1,Ранен,MAZDA,2004,"В-класс (малый) до 3,9 м"
1090228,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,MAZDA,2004,"В-класс (малый) до 3,9 м"
1090228,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,HONDA,2008,"В-класс (малый) до 3,9 м"
1090228,2,Водитель,Женский,6.0,Нет нарушений,0,Ранен,HONDA,2008,"В-класс (малый) до 3,9 м"
1090228,2,Пассажир,Женский,,Нет нарушений,0,Ранен,HONDA,2008,"В-класс (малый) до 3,9 м"
1090248,1,Водитель,Мужской,1.0,Нарушение правил расположения ТС на проезжей части,1,Ранен,DAEWOO,2012,"А-класс (особо малый) до 3,5 м"
1090248,2,Водитель,Мужской,19.0,Нет нарушений,0,Не пострадал,NISSAN,2018,Прочие легковые автомобили
1090320,1,Водитель,Мужской,3.0,Неправильный выбор дистанции,1,Ранен,VOLKSWAGEN,2006,"В-класс (малый) до 3,9 м"
1090320,2,Водитель,Женский,15.0,Нет нарушений,0,Не пострадал,SUBARU,2018,"С-класс (малый средний, компактный) до 4,3 м"
1090427,1,Водитель,Мужской,15.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,ВАЗ,2005,"В-класс (малый) до 3,9 м"
1090427,1,Пассажир,Женский,,Нет нарушений,0,Ранен,ВАЗ,2005,"В-класс (малый) до 3,9 м"
1090427,2,Водитель,Женский,23.0,Нет нарушений,0,Не пострадал,NISSAN,2012,"В-класс (малый) до 3,9 м"
1090457,1,Водитель,Женский,14.0,Несоответствие скорости конкретным условиям движения,1,Ранен,ВАЗ,2019,"В-класс (малый) до 3,9 м"
1090503,1,Водитель,Мужской,22.0,Несоответствие скорости конкретным условиям движения,1,Погиб,LIFAN,2010,"В-класс (малый) до 3,9 м"
1090541,1,Водитель,Мужской,46.0,Нет нарушений,0,Ранен,SUZUKI,2008,"С-класс (малый средний, компактный) до 4,3 м"
1090541,2,Водитель,Мужской,21.0,Нет нарушений,0,Не пострадал,MERCEDES,2015,"С-класс (малый средний, компактный) до 4,3 м"
1090541,3,Водитель,Мужской,7.0,Несоответствие скорости конкретным условиям движения,1,Ранен,SKODA,2017,"С-класс (малый средний, компактный) до 4,3 м"
1090548,1,Водитель,,,Несоответствие скорости конкретным условиям движения,1,Не пострадал,,,Иные ТС
1090548,,Пешеход,Мужской,,Нет нарушений,0,Погиб,,,
1090600,1,Водитель,Мужской,4.0,Нет нарушений,0,Ранен,CHEVROLET,2008,"В-класс (малый) до 3,9 м"
1090600,1,Пассажир,Женский,,Нет нарушений,0,Ранен,CHEVROLET,2008,"В-класс (малый) до 3,9 м"
1090600,1,Пассажир,Женский,,Нет нарушений,0,Ранен,CHEVROLET,2008,"В-класс (малый) до 3,9 м"
1090600,2,Водитель,Женский,24.0,Выезд на полосу встречного движения,1,Не пострадал,NISSAN,2010,"В-класс (малый) до 3,9 м"
1090634,1,Водитель,Мужской,5.0,Несоблюдение очередности проезда,1,Ранен,VOLKSWAGEN,2007,"В-класс (малый) до 3,9 м"
1090634,2,Водитель,Женский,8.0,Нет нарушений,0,Ранен,KIA,2019,"В-класс (малый) до 3,9 м"
1090663,1,Водитель,Женский,12.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,MAZDA,2008,Прочие легковые автомобили
1090663,1,Пассажир,Женский,,Нет нарушений,0,Погиб,MAZDA,2008,Прочие легковые автомобили
