id,datetime,district,category,severity,light,weather,road_defect,road_defects,participants_count,vehicles_count,dead_count,injured_count,lat,lon
1090113,2022-01-01 02:55:00,Пушкинский,Столкновение,С погибшими,"В темное время суток, освещение включено",Пасмурно,,0,3,2,1,1,55.957753,37.832193
1090143,2022-01-01 05:00:00,Волоколамский,Столкновение,Тяжёлый,"В темное время суток, освещение отсутствует",Снегопад,,0,3,3,0,1,56.125821,35.97765
1090189,2022-01-01 09:05:00,Серебряно-Прудский,Съезд с дороги,Легкий,Светлое время суток,Снегопад,,0,2,1,0,1,54.473629,38.530769
1090214,2022-01-01 12:25:00,Мытищинский,Наезд на стоящее ТС,Тяжёлый,Светлое время суток,Пасмурно,Недостатки зимнего содержания,1,5,2,0,3,56.057212,37.527108
1090228,2022-01-01 13:45:00,Шатурский,Столкновение,Тяжёлый,Светлое время суток,Дождь,,0,5,2,0,4,55.63998,39.75261
1090248,2022-01-01 14:50:00,Домодедово,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,2,2,0,1,55.360295,37.90575
1090320,2022-01-01 18:30:00,Солнечногорский,Столкновение,Тяжёлый,"В темное время суток, освещение отсутствует",Пасмурно,,0,2,2,0,1,56.089314,37.159055
1090427,2022-01-01 23:20:00,Ивантеевка,Столкновение,Тяжёлый,"В темное время суток, освещение не включено",Снегопад,Недостатки зимнего содержания,2,3,2,0,1,55.972207,37.950618
1090457,2022-01-02 03:55:00,Орехово-Зуево,Наезд на препятствие,Тяжёлый,"В темное время суток, освещение включено",Снегопад,Недостатки зимнего содержания,1,1,1,0,1,55.868509,38.927157
1090503,2022-01-02 11:20:00,Чеховский,Наезд на препятствие,С погибшими,Светлое время суток,Пасмурно,,0,1,1,1,0,55.251119,37.530032
1090541,2022-01-02 13:15:00,Ступинский,Столкновение,Тяжёлый,Светлое время суток,Снегопад,Недостатки зимнего содержания,3,3,3,0,2,54.961158,37.9898
1090548,2022-01-02 13:25:00,Солнечногорский,Наезд на пешехода,С погибшими,Светлое время суток,Пасмурно,,0,2,1,1,0,56.040027,37.239178
1090600,2022-01-02 16:00:00,Шатурский,Столкновение,Тяжёлый,Сумерки,Пасмурно,,0,4,2,0,1,55.566419,39.649529
1090634,2022-01-02 17:12:00,Талдомский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Ясно,Недостатки зимнего содержания,1,2,2,0,2,56.827082,37.552385
1090663,2022-01-02 18:20:00,Красногорский,Наезд на препятствие,С погибшими,"В темное время суток, освещение включено",Пасмурно,,0,3,1,1,1,55.80139,37.286439
1090672,2022-01-02 18:45:00,Подольский,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,55.4253,37.612596
